col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16
,,,,,,,최지웅,,,,,목 16:30-17:20 (정보과학관 21305-최지웅),,2018,1
,,,,,,,최지웅,,,,,목 17:30-18:20 (정보과학관 21305-최지웅),,2018,1
전선-소프트,복선-소프트/부선-소프트,공학주제-소프트공인증/인선-소프트공인증,,2.15E+09,객체지향프로그래밍및실습,(나반),최지웅,소프트웨어학부,4.00 /3 (1 ),38,7,화 15:00-15:50 (정보과학관 21301-최지웅),2학년 소프트 (대상외수강제한)(대상외수강제한),2018,1
,,,,,,,최지웅,,,,,화 16:00-16:50 (정보과학관 21301-최지웅),,2018,1
,,,,,,,최지웅,,,,,금 13:30-14:20 (정보과학관 21305-최지웅),,2018,1
,,,,,,,최지웅,,,,,금 14:30-15:20 (정보과학관 21305-최지웅),,2018,1
전선-소프트,복선-소프트/부선-소프트,BSM-소프트공인증/인필-소프트공인증,,2.15E+09,선형대수,(가반),서창진,소프트웨어학부,3.00 /3 (0 ),45,0,월 수 10:30-11:45 (정보과학관 21301-서창진),2학년 소프트 (대상외수강제한)(대상외수강제한),2018,1
전선-소프트,복선-소프트/부선-소프트,BSM-소프트공인증/인필-소프트공인증,,2.15E+09,선형대수,(나반),서창진,소프트웨어학부,3.00 /3 (0 ),36,9,월 수 12:00-13:15 (정보과학관 21301-서창진),2학년 소프트 (대상외수강제한)(대상외수강제한),2018,1
전필-소프트,복필-소프트/부선-소프트/융선-정보보호융합/융선-빅데이터융합,공학주제-소프트공인증/인필-소프트공인증,,2.15E+09,자료구조,(가반),조영필,소프트웨어학부,3.00 /3 (0 ),45,0,수 15:00-16:15 (정보과학관 21301-조영필),"2학년 소프트,빅데이터융합,정보보호융합 (대상외수강제한)(대상외수강제한)",2018,1
,,,,,,,조영필,,,,,목 12:00-13:15 (정보과학관 21302-조영필),,2018,1
전필-소프트,복필-소프트/부선-소프트/융선-정보보호융합/융선-빅데이터융합,공학주제-소프트공인증/인필-소프트공인증,,2.15E+09,자료구조,(나반),조영필,소프트웨어학부,3.00 /3 (0 ),39,7,수 16:30-17:45 (정보과학관 21301-조영필),"2학년 소프트, 빅데이터융합,정보보호융합 (대상외수강제한)(대상외수강제한)",2018,1
,,,,,,,조영필,,,,,금 12:00-13:15 (정보과학관 21302-조영필),,2018,1
전필-소프트,복필-소프트/부선-소프트/융선-정보보호융합,공학주제-소프트공인증/인필-소프트공인증,,2.15E+09,컴퓨터구조,(가반),김병기,소프트웨어학부,3.00 /3 (0 ),45,0,월 수 12:00-13:15 (정보과학관 21203-김병기),"2학년 소프트,정보보호융합 (대상외수강제한)(대상외수강제한)",2018,1
전필-소프트,복필-소프트/부선-소프트/융선-정보보호융합,공학주제-소프트공인증/인필-소프트공인증,,2.15E+09,컴퓨터구조,(나반),김병기,소프트웨어학부,3.00 /3 (0 ),40,5,월 수 10:30-11:45 (정보과학관 21203-김병기),"2학년 소프트,정보보호융합 (대상외수강제한)(대상외수강제한)",2018,1
전선-소프트,복선-소프트/부선-소프트/융선-정보보호융합,공학주제-소프트공인증/인선-소프트공인증,,2.15E+09,네트워크프로그래밍,,김영종,소프트웨어학부,3.00 /3,0,50,월 수 16:30-17:45 (정보과학관 21305-김영종),"3학년 소프트,정보보호융합",2018,1
전필-소프트,복필-소프트/부필-소프트/융선-빅데이터융합,공학주제-소프트공인증/인필-소프트공인증,,2.15E+09,데이터베이스 (온&오프),(가반),이상호,소프트웨어학부,3.00 /3,0,40,화 12:00-13:15 (정보과학관 21301-이상호),"3학년 소프트,빅데이터융합 (대상외수강제한)(대상외수강제한)",2018,1
전필-소프트,복필-소프트/부필-소프트/융선-빅데이터융합,공학주제-소프트공인증/인필-소프트공인증,,2.15E+09,데이터베이스 (온&오프),(나반),이상호,소프트웨어학부,3.00 /3,0,40,화 13:30-14:45 (정보과학관 21301-이상호),"3학년 소프트,빅데이터융합 (대상외수강제한)(대상외수강제한)",2018,1
전선-소프트,복선-소프트/부선-소프트/융선-빅데이터융합,공학주제-소프트공인증/인선-소프트공인증,,2.15E+09,소프트웨어공학,,이남용,소프트웨어학부,3.00 /3,0,50,월 수 13:30-14:45 (정보과학관 21102-이남용),"3학년 소프트,빅데이터융합",2018,1
전선-소프트,복선-소프트/부선-소프트/융선-정보보호융합,공학주제-소프트공인증/인선-소프트공인증,,2.15E+09,시스템프로그래밍,,최재영,소프트웨어학부,3.00 /3,0,50,월 수 12:00-13:15 (정보과학관 21302-최재영),"3학년 소프트,정보보호융합",2018,1
전선-소프트,복선-소프트/부선-소프트/융선-빅데이터융합,공학주제-소프트공인증/인선-소프트공인증,,2.15E+09,인공지능,,이수원,소프트웨어학부,3.00 /3,0,50,화 목 15:00-16:15 (정보과학관 21302-이수원),"3학년 소프트,빅데이터융합",2018,1
전선-소프트,복선-소프트/부선-소프트,공학주제-소프트공인증/인선-소프트공인증,,2.15E+09,캡스톤디자인프로젝트1,,김영종,소프트웨어학부,3.00 /3 (3 ),0,50,월 수 15:00-16:15 (정보과학관 21302-김영종),3학년 소프트,2018,1
전선-소프트,복선-소프트/부선-소프트,공학주제-소프트공인증/인선-소프트공인증,,2.15E+09,프로그래밍언어,,양승민,소프트웨어학부,3.00 /3,0,50,화 목 10:30-11:45 (정보과학관 21203-양승민),3학년 소프트 (대상외수강제한)(대상외수강제한),2018,1
전선-소프트,복선-소프트/부선-소프트,공학주제-소프트공인증/인선-소프트공인증,,2.15E+09,SW융합세미나1,,박진호,소프트웨어학부,1.00 /1,0,40,화 13:30-14:20 (정보과학관 21102-박진호),4학년 소프트,2018,1
전선-소프트,복선-소프트/부선-소프트/융선-정보보호융합,공학주제-소프트공인증/인선-소프트공인증,,2.15E+09,시스템보안,,이정현,소프트웨어학부,3.00 /3,0,30,월 화 15:00-16:15 (정보과학관 21305-이정현),"4학년 소프트,정보보호융합",2018,1
전선-소프트,복선-소프트/부선-소프트,공학주제-소프트공인증/인필-소프트공인증,,2.15E+09,캡스톤디자인종합프로젝트1,,이수원,소프트웨어학부,3.00 /3 (3 ),0,40,월 수 12:00-13:15 (정보과학관 21204-이수원),4학년 소프트,2018,1
전선-소프트,복선-소프트/부선-소프트,공학주제-소프트공인증/인선-소프트공인증,,2.15E+09,컴파일러,,유재우,소프트웨어학부,3.00 /3,0,40,월 수 13:30-14:45 (정보과학관 21301-유재우),4학년 소프트,2018,1
전선-소프트,복선-소프트/부선-소프트,공학주제-소프트공인증/인선-소프트공인증,,2.15E+09,컴퓨터비전,,김계영,소프트웨어학부,3.00 /3,0,40,월 16:30-17:45 (정보과학관 21302-김계영),4학년 소프트,2018,1
,,,,,,,김계영,,,,,화 12:00-13:15 (정보과학관 21302-김계영),,2018,1
